Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
 Ukraine,664,785,885,"1,056","1,375","1,840","2,319","3,101","3,945","2,557"
 United Arab Emirates,"32,496","30,878","30,969","32,167","34,945","39,389","45,240","46,090","48,549","37,428"
 United Kingdom,"28,338","27,917","30,127","34,480","40,411","42,144","44,590","50,420","47,884","38,892"
 United States,"36,313","37,101","37,946","39,405","41,642","44,034","46,217","47,943","48,471","47,102"
 Uruguay,"7,432","6,804","4,441","3,942","4,477","5,663","6,377","7,623","9,857","10,232"
 Uzbekistan,702,588,482,499,585,689,811,"1,049","1,325","1,523"
 Vanuatu,"1,422","1,317","1,313","1,542","1,743","1,825","1,985","2,309","2,541","2,520"
 Venezuela,"4,821","4,964","3,778","3,266","4,312","5,422","6,647","8,538","11,079","9,558"
 Vietnam,499,513,547,610,757,873,996,"1,152","1,447","1,481"
 Palestine,"1,413","1,276","1,103","1,197","1,351","1,461","1,481","1,564","1,913","2,062"
 Yemen,493,487,513,549,628,734,810,890,"1,072",969
 Zambia,364,380,399,452,556,720,"1,066","1,134","1,394","1,151"
 Zimbabwe,970,964,923,822,807,765,678,647,553,790
